
Reading File:  ./chipir2023/DDR3_IDLE_testexperiment_June_29_2023__10_54_26_UART.log
Number of lines in uart file:  32726
32727
Printing Dynamic Errors



[ 6 / 29 /2023 at  11 : 39 : 52 ]

Error group count:  1

 Num Errors: 33554432 

Error New:    0x0000000:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000001:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000002:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000003:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000004:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000005:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000006:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000007:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000008:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000009:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x000000a:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x000000b:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x000000c:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x000000d:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x000000e:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x000000f:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000010:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000011:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000012:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000013:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000014:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000015:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000016:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000017:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000018:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000019:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x000001a:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x000001b:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x000001c:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x000001d:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x000001e:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x000001f:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000020:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000021:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000022:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000023:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000024:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000025:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000026:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000027:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000028:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000029:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x000002a:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x000002b:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x000002c:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x000002d:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x000002e:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x000002f:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000030:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000031:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000032:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000033:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000034:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000035:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000036:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
Error New:    0x0000037:  a5a5a5a5 a5a5a5a5 a5a5a5a5 a5a5a5a5
